Word	Activation	Evaluation	Imagery
damn	0.004722	-0.999857	-1.340844
damned	0.148749	-0.596989	-2.170380
damp	-2.983598	-2.744104	0.175072
dance	1.314201	1.026312	2.820747
danced	3.637002	1.026312	1.100322
dancer	1.514929	0.551470	2.820747
dancers	1.852063	1.620145	2.820747
dances	2.287776	1.257212	1.100322
dancing	4.584466	1.620145	1.861138
dandy	-0.778214	1.026312	-2.170380
danger	2.287776	-1.326004	1.100322
dangerous	3.787469	-0.999857	-0.044999
dangers	2.287776	-1.326004	0.010639
dare	2.287776	-1.326004	-0.278153
dared	0.716846	-0.596989	-0.278153
daren't	-0.093515	-1.116716	-1.340844
daresay	-0.114763	-0.447881	-1.340844
daring	1.314201	0.001518	-0.710102
dark	-0.778214	-0.808232	2.820747
darkness	-0.140645	-2.509878	1.861138
darling	-0.140645	0.001518	0.010639
darned	-3.195724	-0.596989	-1.340844
darning	-0.001370	-1.971295	-1.340844
dart	-1.046833	-0.155062	2.820747
dart's	-0.211108	-0.155062	0.538300
dash	1.514929	-0.596989	0.175072
data	-0.347565	-0.101185	1.100322
date	0.653476	1.257212	2.820747
dated	-0.140645	0.474057	1.100322
dates	-0.014752	2.763584	1.861138
daughter	-0.031595	1.257212	2.820747
daughters	-0.039823	2.983926	2.820747
dawn	-1.046833	0.551470	1.100322
dawned	0.148749	0.001518	-1.340844
day	-0.450163	1.887217	1.100322
day's	-0.287614	1.478728	1.100322
daydream	-0.093515	4.277952	0.538300
daylight	-0.211108	3.530636	2.820747
days	-0.031595	0.551470	1.100322
daytime	-0.014752	1.789844	1.861138
dazzle	1.514929	1.257212	-0.278153
dead	-0.778214	-0.808232	2.820747
deadlock	-0.995083	-0.297432	0.010639
deadly	0.148749	-1.172147	1.861138
deaf	-0.995083	-0.447881	0.538300
deal	1.314201	-0.019958	0.010639
dealer	0.148749	-0.155062	1.861138
dealers	1.514929	-0.447881	1.100322
dealing	3.365654	-0.000229	0.175072
deals	0.942679	0.030421	0.010639
dealt	0.379670	0.349300	-0.278153
dean	-0.014752	-0.019958	0.010639
dear	-0.140645	1.257212	-0.278153
dears	-0.140645	0.379756	-0.710102
death	-1.380115	-0.155062	1.100322
debate	3.787469	-0.041802	1.861138
debt	-0.319455	-0.081564	-0.044999
debts	-1.130421	-0.000229	-0.710102
debut	-0.319455	-0.081564	-0.710102
decade	-1.548816	0.035706	-2.170380
decades	-1.437902	-0.081564	-2.170380
decay	0.010809	-0.596989	1.100322
deceased	-1.046833	-0.238684	1.861138
december	-0.778214	0.001518	1.861138
decency	-0.211108	1.950814	-0.278153
decent	0.024083	0.669604	-0.278153
decently	-0.211108	2.571334	-1.340844
decide	0.797123	0.379756	-0.710102
decided	0.148749	0.030421	-0.278153
decides	1.709964	0.349300	-1.340844
deciding	1.959874	0.754725	-0.710102
decision	0.716846	0.349300	-0.278153
decisions	1.039588	0.967320	-0.710102
decisive	0.010809	0.132305	-1.340844
deck	-1.289890	0.012373	1.861138
declaration	0.148749	0.132305	-0.044999
declared	2.365905	-0.008248	-0.278153
declares	2.734141	0.325280	-1.340844
declaring	1.709964	0.349300	-1.340844
decline	0.493704	-0.372557	0.010639
declined	-0.031595	-0.596989	-0.044999
decrease	0.010809	-0.041802	0.538300
dedicated	0.493704	1.026312	-0.044999
dedication	0.030435	2.571334	-0.278153
deduction	0.004722	0.001518	-0.278153
deductions	-0.211108	0.006343	-0.278153
deemed	-0.549348	-0.155062	-2.170380
deep	-1.046833	0.132305	2.820747
deeper	-0.211108	0.325280	1.861138
deepest	-1.702669	0.603619	1.861138
deeply	-1.289890	0.132305	0.175072
deer	-0.014752	-0.019958	2.820747
defeat	2.287776	-0.596989	1.100322
defeated	1.514929	-0.596989	0.538300
defects	-0.319455	-0.081564	0.175072
defend	3.637002	0.132305	0.538300
defendants	-0.140645	-0.155062	1.100322
defended	0.148749	0.379756	0.010639
defending	1.959874	-0.008248	0.010639
defense	0.900809	-0.238684	0.010639
defenses	0.004722	0.001518	0.010639
defensive	1.232379	0.132305	0.010639
deficiencies	-2.298518	-0.767485	-2.170380
deficiency	-1.930160	-0.808232	-1.340844
deficit	-1.289890	-1.326004	-1.340844
defiling	-0.549348	-0.596989	-1.340844
define	-0.039823	0.030421	-1.340844
defined	-0.211108	-0.041802	-1.340844
defining	0.601662	0.030421	-2.170380
definite	-0.140645	-0.417683	-1.340844
definitely	-0.549348	0.132305	-1.340844
definition	-0.000019	-0.041802	-1.340844
deflated	-0.211108	-0.596989	1.100322
degraded	0.148749	-0.238684	-1.340844
degrades	1.709964	-0.008248	-2.170380
degree	0.148749	0.349300	0.175072
degrees	0.036361	0.030421	0.010639
dejected	-0.395133	-0.155062	-1.340844
delay	-1.702669	-1.172147	-0.278153
delayed	-0.778214	-0.155062	-0.278153
delegates	-0.014752	-0.019958	-0.044999
delegation	-0.114763	-0.000229	-0.278153
deliberate	0.356293	-0.214039	-0.710102
deliberately	0.148749	-0.041802	-1.340844
delicate	-1.702669	0.868498	1.861138
delight	0.900809	1.478728	0.538300
delighted	2.420824	1.718208	0.175072
delightful	0.653476	2.571334	0.010639
delirious	2.734141	-0.019958	0.538300
deliver	0.797123	0.132305	1.861138
delivered	1.514929	0.419690	0.010639
delivery	2.734141	0.603619	0.538300
demand	2.287776	-0.041802	0.538300
demanded	2.734141	-0.019958	-0.278153
demanding	5.232408	-0.447881	-0.044999
demands	1.959874	-0.417683	-0.710102
democrat	-0.587968	-0.297432	0.010639
democratic	-0.549348	0.006343	-0.278153
democrats	-0.778214	-0.372557	0.538300
demographic	-0.587968	0.018621	-2.170380
demonstrate	1.039588	-0.002446	0.175072
demonstrated	0.148749	-0.019958	-0.278153
demonstration	0.716846	-0.008248	1.861138
denial	0.030435	-1.172147	-1.340844
denied	0.030435	-0.767485	-1.340844
denominations	-1.289890	-0.155062	-2.170380
density	-1.289890	-0.019958	0.175072
dental	0.030435	-0.214039	2.820747
dentist	0.559548	-0.000229	2.820747
denver	-0.959986	0.305876	0.010639
deny	-0.140645	-0.155062	-0.710102
denying	0.408639	-0.808232	-0.710102
departing	1.314201	-0.808232	0.010639
department	-0.140645	-0.019958	0.538300
department's	-0.347565	-0.000229	-0.044999
departments	-0.155671	-0.041802	0.538300
departure	0.148749	0.001518	-0.044999
depend	-0.491564	-0.155062	-0.710102
dependence	0.148749	-0.372557	-1.340844
dependent	-0.778214	-0.112624	-1.340844
depending	0.004722	0.001518	-2.170380
depends	0.148749	-0.155062	-2.170380
deposited	0.445416	0.132305	0.538300
depot	-3.360064	-0.081564	-0.278153
depreciation	-0.211108	-0.447881	-2.170380
depressed	-0.001370	-0.447881	1.861138
depression	-0.778214	-0.447881	0.538300
depth	-0.395133	0.012373	0.538300
depths	-1.702669	0.132305	-0.044999
deputies	-0.093515	-0.101185	1.100322
deputy	-0.395133	-0.155062	1.861138
derive	0.024083	0.018621	-1.340844
derived	-0.001370	0.325280	-1.340844
descending	1.514929	-0.041802	0.175072
descent	0.408639	0.132305	-0.278153
describe	0.408639	-0.019958	-1.340844
described	0.379670	0.018621	-1.340844
describes	0.653476	0.325280	-1.340844
describing	1.709964	0.349300	-1.340844
description	-0.778214	-0.081564	-1.340844
descriptions	-1.046833	0.132305	-2.170380
desegregation	-0.031595	0.419690	-0.710102
desert	-0.061624	0.132305	1.861138
deserted	-0.450163	-0.767485	0.538300
deserve	-0.061624	0.132305	-0.710102
deserved	0.010809	0.132305	-1.340844
deserves	-0.140645	0.379756	-1.340844
design	-0.211108	0.132305	1.861138
designated	0.030435	0.325280	-0.278153
designed	0.148749	0.024694	-0.710102
designer	-0.140645	0.379756	1.100322
designers	-0.031595	0.006343	0.538300
designs	-0.031595	0.132305	1.100322
desirable	0.148749	1.478728	0.538300
desire	1.786400	0.474057	-0.278153
desired	2.462029	2.250380	-0.710102
desires	0.716846	1.620145	-0.278153
desk	-1.930160	-0.019958	2.820747
despair	0.024083	-0.596989	-0.278153
desperate	0.900809	-0.596989	0.010639
desperately	1.039588	-0.081564	-0.710102
despite	-3.195724	-0.155062	-2.170380
destiny	0.030435	1.950814	-0.278153
destroy	1.160278	-0.999857	1.861138
destroyed	1.959874	-0.808232	0.538300
destroying	1.514929	-0.596989	0.538300
destruction	4.584466	-0.596989	1.100322
destructive	1.786400	-0.372557	0.010639
detached	-0.001370	-0.214039	-0.278153
detail	-1.289890	0.012373	-0.278153
detailed	-0.549348	0.006343	-0.278153
details	-0.615504	-0.041802	-0.710102
detect	0.445416	-0.041802	-2.170380
detected	0.900809	-1.116716	-2.170380
detection	0.716846	-0.297432	-2.170380
detective	0.024083	-0.008248	1.861138
detectives	0.337182	0.030421	2.820747
detergent	-1.930160	0.132305	2.820747
determination	2.734141	1.416385	-0.278153
determine	0.148749	0.379756	-2.170380
determined	1.314201	1.257212	-0.278153
determines	1.232379	-0.155062	-0.710102
determining	0.653476	0.024694	-2.170380
detroit	-2.298518	-0.238684	2.820747
develop	0.445416	0.132305	-2.170380
developed	0.010809	0.006343	-0.278153
developing	3.787469	1.718208	-0.710102
development	4.310702	1.416385	-0.710102
developments	0.797123	0.754725	-0.278153
develops	0.797123	0.012373	-0.710102
deviation	0.445416	-0.596989	-2.170380
device	-0.778214	0.024694	1.100322
devices	-1.046833	-0.041802	1.100322
devil	0.017453	-0.808232	2.820747
devilish	1.514929	-0.214039	0.175072
devised	-0.140645	-0.155062	-2.170380
devote	1.160278	0.349300	-2.170380
devoted	0.445416	0.132305	-2.170380
devoting	1.786400	0.001518	-2.170380
devotion	0.024083	1.093219	-1.340844
diagnosis	0.148749	-0.002446	-0.044999
diagnostic	-0.395133	-0.155062	-2.170380
diagram	-0.395133	-0.019958	2.820747
dial	0.030435	0.024694	2.820747
dialled	0.356293	0.024694	-0.278153
dialogue	1.709964	0.349300	1.861138
diameter	-1.289890	0.012373	0.010639
dice	-0.211108	0.024694	2.820747
dictatorship	0.148749	-0.000229	-0.278153
dictionary	-0.959986	0.030421	2.820747
did	0.017453	-0.019958	-2.170380
didn't	-0.395133	-0.019958	-2.170380
die	0.148749	-0.808232	1.100322
died	-0.140645	-0.808232	1.861138
dies	-0.039823	-0.596989	1.100322
diet	0.041874	-0.112624	0.538300
dieting	1.786400	-0.874088	0.175072
differ	-1.130421	-0.155062	-2.170380
differed	0.010809	-0.238684	-2.170380
difference	-0.024875	-0.260480	-1.340844
differences	-0.778214	0.132305	-0.710102
different	-0.140645	0.012373	-0.710102
differential	-1.046833	-0.041802	-1.340844
differently	-2.298518	-0.372557	-2.170380
differs	-0.211108	0.024694	-2.170380
difficult	-0.061624	-1.172147	-0.710102
difficulties	-0.450163	-1.172147	-2.170380
difficulty	-0.014752	-0.417683	-0.710102
diffusion	0.030435	-0.002446	-0.710102
dig	2.734141	-0.002446	1.861138
dignity	0.148749	0.754725	-2.170380
dilemma	1.160278	-0.596989	-1.340844
diligent	-0.061624	0.603619	-1.340844
dill	-3.490521	-0.238684	0.010639
dim	-2.699025	-0.417683	0.538300
dimension	-0.140645	0.012373	-0.278153
dimensional	-0.211108	0.024694	-0.278153
dimensions	-0.005671	0.018621	-0.710102
diminished	-0.995083	-0.596989	-0.278153
dimly	-1.437902	-0.372557	-0.278153
dimmed	-2.517232	-0.238684	0.538300
din	0.010809	-0.238684	-0.710102
dining	0.493704	0.001518	1.100322
dinner	0.030435	0.132305	1.861138
diplomacy	0.004722	0.474057	-1.340844
diplomatic	0.010809	0.419690	-0.278153
dire	0.148749	-0.417683	-2.170380
direct	-1.046833	0.006343	-2.170380
directed	-0.001370	0.132305	-0.710102
direction	0.030435	0.325280	-0.278153
directions	-0.395133	0.012373	0.538300
directly	-0.211108	-0.041802	-2.170380
director	-0.319455	-0.081564	1.100322
directors	-0.031595	-0.041802	1.100322
dirt	-0.778214	-0.081564	2.820747
dirty	0.046894	-1.204354	2.820747
disabled	-0.587968	-0.596989	1.861138
disagreement	1.314201	-0.155062	-0.044999
disappear	0.024083	-0.999857	0.010639
disappeared	-0.031595	-0.238684	-0.044999
disappointed	-0.061624	-0.081564	-0.044999
disappointment	0.000544	-0.155062	-0.710102
disapproval	-0.001370	-1.172147	-0.278153
disarmament	0.379670	0.132305	-1.340844
disaster	2.734141	-1.326004	1.861138
disastrous	1.959874	-0.808232	0.010639
discharge	0.942679	-1.326004	-2.170380
discipline	0.493704	-0.081564	-0.710102
disciplined	0.653476	-0.214039	-1.340844
disclosed	-0.778214	-0.808232	-2.170380
disclosing	0.010809	-0.596989	-2.170380
discount	-0.778214	0.289998	-0.710102
discouraged	-0.549348	-0.238684	0.010639
discourse	-0.549348	-0.238684	-2.170380
discover	1.160278	1.093219	-0.044999
discovered	0.379670	1.620145	-0.044999
discoveries	3.787469	1.718208	-1.340844
discovery	6.967768	2.645480	-1.340844
discrepancy	-0.005671	-2.237562	-2.170380
discrete	-0.031595	-0.417683	-1.340844
discretion	-0.778214	0.379756	-1.340844
discrimination	0.148749	-2.341412	-0.044999
discuss	3.997567	0.603619	0.010639
discussed	1.786400	0.132305	-0.278153
discussing	2.734141	-0.041802	0.175072
discussion	4.826465	0.132305	0.175072
discussions	3.477280	0.132305	0.175072
disease	-0.005671	-2.237562	0.538300
diseases	-0.031595	-1.971295	0.175072
disgrace	-0.549348	-1.971295	-0.044999
disgruntled	0.004722	-1.797865	-0.044999
disguised	-0.005671	-0.767485	0.538300
disgust	0.004722	-1.116716	0.175072
disgusting	1.514929	-1.971295	0.175072
dish	-0.093515	-0.065561	2.820747
dishes	-0.211108	-0.417683	2.820747
disinfectant	-0.140645	-0.596989	0.175072
disk	-0.778214	-0.041802	2.820747
dislike	-0.491564	-2.509878	-0.710102
disliked	-0.014752	-2.828322	-0.710102
dismissed	0.379670	-0.065561	-0.044999
disobey	0.445416	-1.326004	-0.044999
displacement	-0.211108	-0.808232	-2.170380
display	0.716846	0.132305	0.175072
displayed	0.716846	0.325280	0.010639
displays	0.017453	0.018621	0.010639
disposal	0.004722	-1.797865	-0.278153
disposed	0.379670	-1.662173	-0.710102
disposition	-0.778214	-0.000229	-0.710102
dispute	2.080232	-2.341412	-0.044999
disrespect	-0.549348	-2.744104	-1.340844
disrupts	0.010809	-2.744104	-1.340844
distance	-1.046833	-0.808232	-0.044999
distances	-0.549348	-0.417683	-0.710102
distant	-0.450163	-1.326004	-0.710102
distilled	0.148749	-0.469429	-0.710102
distinct	0.148749	-0.081564	-1.340844
distinction	0.148749	-0.155062	-2.170380
distinctions	0.493704	-0.238684	-2.170380
distinctive	-0.039823	0.289998	-2.170380
distinctly	0.148749	0.001518	-2.170380
distinguish	1.514929	0.379756	-0.278153
distinguished	0.493704	0.419690	-0.710102
distorted	0.148749	-1.586861	0.175072
distraught	1.709964	-2.237562	-0.278153
distress	0.148749	-1.662173	-0.044999
distributed	3.128999	0.024694	-1.340844
distribution	0.900809	0.132305	-1.340844
distributions	0.716846	0.132305	-1.340844
district	-0.287614	-0.065561	-0.044999
districts	-0.211108	-0.155062	-0.044999
disturb	2.734141	-2.115523	-0.044999
disturbance	1.959874	-2.115523	-0.278153
disturbed	0.004722	-1.797865	-0.278153
disturbing	3.220259	-1.971295	-0.278153
ditch	-1.046833	-0.808232	2.820747
dive	3.128999	0.325280	2.820747
diverse	1.959874	0.669604	-0.710102
diversity	0.408639	1.093219	-0.278153
divide	0.000544	-1.586861	0.010639
divided	-0.061624	-1.797865	0.175072
divine	0.004722	1.478728	-0.278153
division	0.000544	-0.874088	0.175072
divisions	0.379670	-0.214039	0.175072
divorce	0.148749	-1.586861	0.538300
do	3.882810	-0.596989	-1.340844
doc	-0.031595	0.132305	0.538300
docility	-0.319455	0.006343	-2.170380
doctor	0.148749	0.349300	2.820747
doctor's	0.148749	0.024694	0.175072
doctors	-0.031595	0.132305	2.820747
doctrine	-0.061624	-0.596989	-0.278153
document	-0.114763	-1.586861	2.820747
documents	-0.061624	-1.116716	2.820747
dodge	1.232379	0.001518	0.538300
does	0.863185	0.132305	-1.340844
doesn't	-0.014752	-0.596989	-0.710102
dog	0.148749	2.645480	2.820747
doggie	0.408639	2.250380	1.100322
doggy	-0.061624	1.478728	1.100322
dogs	-0.114763	1.789844	2.820747
doing	2.734141	-0.000229	-1.340844
doleful	-0.093515	-0.002446	-2.170380
doll	-1.289890	1.620145	2.820747
dollar	-1.046833	2.645480	2.820747
dollars	-0.549348	2.645480	2.820747
dolls	-0.778214	0.551470	2.820747
dolores	-1.130421	-0.372557	-0.044999
dome	-1.508064	-0.447881	2.820747
domestic	-0.211108	-0.019958	-0.044999
dominance	2.287776	-1.326004	-0.044999
dominant	1.852063	0.035706	0.010639
dominated	1.786400	-0.596989	-0.710102
domination	1.039588	-1.797865	-0.710102
dominican	-0.014752	-0.297432	0.010639
don	-0.395133	-0.297432	0.175072
don't	-1.702669	-1.326004	-0.278153
done	-1.046833	0.754725	-0.710102
donkeys	-0.093515	-0.214039	2.820747
doomed	-0.549348	-1.971295	0.175072
door	-1.046833	-0.019958	2.820747
doors	-1.702669	-0.155062	2.820747
doorway	-0.093515	0.024694	2.820747
dopey	-1.437902	-1.116716	0.175072
dose	-1.437902	-1.116716	-0.278153
doses	-2.032228	-0.874088	-0.710102
dossiers	0.148749	-0.596989	-0.710102
dot	-0.587968	-0.002446	2.820747
dots	-1.702669	-0.155062	2.820747
double	-0.549348	0.012373	1.100322
doubled	-0.061624	0.132305	0.538300
doubt	-0.995083	-2.237562	-2.170380
doubtful	-2.298518	-1.797865	-1.340844
doubtless	-1.046833	0.132305	-1.340844
doubts	-0.287614	-1.662173	-0.710102
dough	-0.211108	0.379756	1.100322
down	-1.930160	-1.506035	1.100322
downstairs	-0.319455	-0.238684	2.820747
downtown	-1.130421	0.001518	2.820747
downward	-0.140645	-2.115523	1.100322
dozen	-0.587968	-0.065561	1.100322
dozens	-0.549348	-0.019958	1.100322
dr	-1.046833	-0.417683	-2.170380
draft	0.148749	-0.065561	0.538300
drag	0.379670	-2.237562	1.100322
dragged	-0.140645	-2.828322	0.538300
dragging	1.039588	-2.640437	0.538300
drain	2.365905	-1.662173	1.100322
drainage	-0.114763	-2.509878	0.175072
drama	1.514929	0.305876	-0.044999
dramatic	2.287776	0.012373	0.010639
dramaticallY	0.148749	-0.155062	-0.044999
drank	1.514929	-0.808232	0.538300
drape	0.148749	-0.417683	0.175072
drapes	0.030435	-0.155062	0.175072
drastic	0.337182	-0.469429	-1.340844
drastically	0.559548	-2.509878	-1.340844
draw	0.148749	-0.596989	1.100322
drawback	0.493704	-1.116716	-0.710102
drawing	1.359348	1.130121	2.820747
drawings	0.000544	1.026312	2.820747
drawn	0.010809	0.012373	0.175072
draws	0.004722	-0.041802	0.010639
dreadful	-0.114763	-1.586861	-1.340844
dream	1.160278	2.571334	1.100322
dreamboat	-0.995083	1.950814	0.175072
dreamed	0.716846	2.571334	0.010639
dreaming	0.445416	3.530636	-0.044999
dreams	-0.093515	0.967320	0.010639
dreamt	0.379670	1.416385	0.010639
drench	0.445416	-1.971295	-0.044999
dress	-0.014752	0.349300	0.538300
dressed	-0.014752	0.349300	0.010639
dresses	-0.778214	-0.041802	0.175072
dressing	0.148749	-0.155062	0.010639
drew	0.148749	-0.155062	-0.044999
dribble	1.709964	-0.767485	1.100322
dried	-0.395133	-0.999857	-0.044999
drift	0.017453	-0.999857	0.010639
drifting	0.148749	-0.874088	0.175072
drill	0.004722	-1.797865	1.100322
drilling	0.493704	-0.596989	1.100322
drink	0.148749	-0.000229	1.100322
drinking	1.709964	0.325280	1.100322
drinks	0.148749	0.132305	0.538300
drippy	0.004722	-0.238684	0.175072
drive	2.287776	0.379756	1.100322
driven	0.493704	-0.041802	0.175072
driver	0.148749	0.012373	2.820747
drivers	0.379670	0.024694	1.100322
driveway	-0.549348	-0.019958	2.820747
driving	5.232408	0.006343	0.538300
droop	0.000544	-1.586861	0.010639
droopy	-0.319455	-1.797865	0.010639
drop	0.148749	-1.586861	1.100322
dropped	2.168184	-2.022036	1.100322
dropping	1.314201	-2.115523	1.100322
drops	0.148749	-0.808232	1.100322
drove	0.797123	0.132305	0.010639
drowsy	-0.778214	-1.116716	0.010639
drug	-2.032228	-1.586861	1.100322
drugs	-1.702669	-2.341412	0.538300
drum	0.024083	-0.447881	1.100322
drums	0.148749	-0.297432	2.820747
drunk	0.445416	-0.155062	1.100322
dry	-1.046833	-0.417683	0.175072
drying	0.024083	-0.002446	1.100322
dude	-1.130421	-0.874088	0.538300
due	-0.995083	-0.767485	-0.044999
dug	0.004722	-1.116716	2.820747
duke	-0.031595	-0.155062	0.010639
dull	-1.380115	-1.463388	0.175072
duly	-1.130421	-0.041802	-1.340844
dumb	-2.298518	-0.596989	-0.278153
dung	-0.395133	-0.596989	0.175072
durable	0.148749	0.132305	-0.278153
duration	-0.211108	0.030421	-2.170380
during	-0.549348	-0.417683	-1.340844
dust	-1.508064	-1.172147	1.100322
dustbins	-1.046833	-0.417683	0.538300
dusty	-2.517232	-2.744104	0.175072
dutch	-1.702669	-1.326004	-0.044999
duties	0.148749	-0.447881	-0.278153
duty	-0.319455	-0.596989	-0.278153
dwelling	-1.437902	0.132305	0.010639
dwelt	-2.032228	-1.586861	-0.044999
dwight	-0.778214	-0.155062	-0.278153
dying	1.160278	-2.237562	0.538300
dynamic	4.310702	1.257212	-2.170380
dysfunction	0.445416	-2.744104	-1.340844
dysfunctional	0.559548	-1.586861	-0.710102
each	-0.587968	-0.002446	-2.170380
eager	1.039588	0.419690	-0.278153
eagerly	1.514929	0.132305	-1.340844
ear	-0.995083	-0.002446	2.820747
earl	-0.549348	-0.019958	-0.278153
earlier	-0.031595	0.012373	-0.278153
earliest	-0.061624	-0.041802	-0.278153
early	-0.491564	-1.586861	-0.044999
earn	0.797123	0.349300	-0.278153
earned	1.709964	0.967320	-0.278153
earnest	-0.031595	0.012373	-0.278153
earnestly	0.445416	0.012373	-2.170380
earnings	0.716846	0.967320	0.175072
ears	-0.093515	-0.002446	2.820747
earshot	-0.778214	-0.297432	-0.710102
earth	-0.778214	0.868498	2.820747
earth's	-0.287614	0.603619	-0.044999
earthshaking	4.826465	-0.372557	0.175072
earthy	-0.061624	0.868498	-0.044999
ease	-0.549348	2.645480	-1.340844
easier	-0.549348	1.257212	-1.340844
easiest	-0.211108	0.754725	-1.340844
easily	1.514929	1.257212	-1.340844
east	-0.061624	0.030421	0.010639
easter	-0.155671	0.508784	0.175072
eastern	-0.491564	-0.081564	-0.710102
easy	-0.001370	1.257212	-1.340844
eat	2.734141	3.183455	1.100322
eaten	0.337182	0.789068	0.175072
eating	2.168184	1.026312	1.100322
eccentric	0.445416	-0.417683	-1.340844
echo	-0.778214	-0.238684	0.175072
economic	-0.114763	-1.586861	-1.340844
economical	-0.005671	0.024694	-1.340844
economically	-0.005671	-0.214039	-1.340844
economics	-0.005671	-0.767485	-0.278153
economy	0.148749	-0.808232	-0.710102
ecumenical	-0.014752	-0.214039	-2.170380
edge	-0.093515	-0.447881	1.861138
edges	-0.395133	-0.297432	1.100322
edict	0.148749	0.132305	-2.170380
edition	-0.778214	-0.008248	-1.340844
editions	-1.437902	0.006343	-1.340844
editor	-0.211108	-0.155062	-0.278153
editorial	0.010809	-0.155062	0.010639
editorials	-0.287614	-0.214039	-0.044999
editors	-0.014752	-0.101185	-0.278153
educated	1.314201	2.983926	-0.710102
education	0.559548	1.789844	-0.044999
educational	0.493704	0.419690	-1.340844
educator	-0.061624	0.419690	-0.044999
effect	-0.211108	-0.155062	-2.170380
effected	0.148749	-0.002446	-1.340844
effective	0.148749	0.001518	-1.340844
effectively	0.493704	0.006343	-1.340844
effects	0.148749	-0.019958	-1.340844
efficiency	1.039588	0.419690	-2.170380
efficient	0.445416	0.754725	-2.170380
effigy	-0.587968	-0.065561	-2.170380
effort	2.287776	1.257212	-0.044999
efforts	6.782935	0.474057	-0.278153
eg	-0.491564	-0.000229	-1.340844
egg	-2.298518	-0.081564	2.820747
eggs	-2.032228	-0.000229	2.820747
ego	0.148749	-0.260480	-0.044999
eight	-1.289890	-0.019958	2.820747
eighteen	-1.046833	0.006343	1.861138
eighteenth	-1.930160	-0.019958	1.100322
eighth	-2.298518	-0.081564	0.538300
eighty	-4.622537	-0.155062	1.861138
either	-1.702669	-0.008248	-2.170380
elaborate	1.160278	0.349300	-1.340844
elbow	-0.395133	0.012373	2.820747
elder	-1.702669	-0.041802	2.820747
elderly	-0.211108	0.132305	2.820747
elected	4.668458	0.012373	-0.044999
election	3.365654	-0.000229	1.861138
elections	4.972390	0.132305	0.538300
electoral	-0.319455	-0.081564	-1.340844
electric	0.148749	0.006343	0.538300
electrical	0.337182	0.132305	0.538300
electricity	2.734141	0.132305	1.100322
electron	5.232408	0.001518	1.100322
electronic	1.959874	0.012373	0.175072
electronics	1.959874	0.132305	-0.278153
electrons	1.514929	0.024694	0.538300
elegance	-1.702669	0.419690	0.175072
elegant	-0.587968	1.093219	0.175072
element	-1.046833	0.006343	0.538300
elemental	-1.046833	0.419690	-2.170380
elementary	-4.622537	0.669604	-0.044999
elements	-0.005671	0.669604	0.175072
elephants	0.148749	1.789844	2.820747
elevated	1.039588	0.132305	2.820747
elevator	2.168184	0.132305	2.820747
eleven	-1.195496	0.132305	2.820747
eligible	-0.005671	0.669604	-0.710102
eliminate	2.287776	-0.596989	-0.710102
eliminated	1.786400	-0.081564	-0.278153
eliminating	0.559548	-0.000229	-0.044999
elite	-2.127299	0.018621	-0.278153
eloquent	-1.437902	0.132305	-0.710102
else	-2.517232	-0.041802	-1.340844
elsewhere	-0.587968	0.018621	-1.340844
elude	0.148749	-1.116716	-0.278153
emancipation	0.010809	1.478728	-1.340844
embarrassing	0.148749	-0.081564	0.175072
embassy	-2.032228	-0.155062	1.861138
embers	-1.930160	1.257212	0.175072
embodiment	0.148749	0.132305	-0.278153
embrace	2.287776	0.868498	1.861138
emerge	3.220259	0.006343	1.100322
emerged	0.148749	0.669604	0.010639
emergency	4.972390	-0.297432	1.100322
emerging	2.734141	0.132305	-0.044999
emotion	1.786400	1.789844	1.100322
emotional	3.128999	1.093219	2.820747
emotionally	4.826465	1.257212	-0.278153
emotions	2.080232	2.571334	0.175072
emperor	-0.211108	-0.041802	1.861138
emphasis	0.010809	0.132305	-1.340844
emphasize	2.287776	0.132305	-1.340844
emphasized	3.220259	0.132305	-2.170380
empire	0.030435	0.967320	1.861138
empirical	-0.615504	-0.000229	-0.044999
employ	0.559548	-0.155062	0.010639
employed	0.653476	0.132305	0.538300
employee	0.493704	1.026312	2.820747
employees	2.734141	0.789068	2.820747
employer	0.559548	0.551470	2.820747
employers	0.445416	0.419690	1.100322
employing	1.039588	1.026312	-0.710102
employment	2.168184	1.257212	-0.278153
employs	0.716846	1.620145	-1.340844
empowerment	6.053469	0.132305	-0.710102
empty	-4.622537	-1.506035	2.820747
emptying	-0.211108	-0.041802	2.820747
enable	0.024083	1.093219	-0.044999
enabled	0.148749	1.093219	-0.710102
enabling	-0.014752	0.379756	-1.340844
enacted	0.148749	0.132305	-1.340844
enclosed	-0.140645	0.132305	0.175072
encounter	3.882810	1.789844	0.175072
encountered	2.287776	0.419690	-0.044999
encourage	2.287776	1.478728	0.175072
encouraged	3.128999	2.250380	0.175072
encouragement	1.959874	2.645480	-0.044999
encouraging	0.797123	1.257212	0.175072
end	-3.195724	-0.155062	2.820747
endeavour	1.232379	-0.155062	-0.710102
ended	-2.298518	0.001518	-0.278153
ending	-4.622537	0.132305	0.010639
endless	-2.852790	-0.101185	0.175072
ends	-3.195724	-0.000229	-0.278153
endurance	3.882810	0.001518	0.538300
endured	0.010809	0.132305	-1.340844
enduring	0.148749	1.026312	-1.340844
enemies	3.220259	-0.596989	2.820747
enemy	1.160278	-0.999857	2.820747
energetic	8.534390	0.868498	2.820747
energies	6.782935	0.132305	0.175072
